"expression_index","phase","start_line","end_line","line_span","call_head","assignment_target","is_function_definition","preview"
91,"network_metrics_modules_and_candidates",492,496,5,"<-","average_path_lcc",FALSE,"average_path_lcc <- if (igraph::gorder(ppi_lcc) > 1) { igraph::mean_distance(ppi_lcc, directed = FALSE, unconnected = FALSE) } else { NA_real_ }"
92,"network_metrics_modules_and_candidates",498,502,5,"<-","diameter_lcc",FALSE,"diameter_lcc <- if (igraph::gorder(ppi_lcc) > 1) { igraph::diameter(ppi_lcc, directed = FALSE, unconnected = FALSE) } else { 0 }"
93,"network_metrics_modules_and_candidates",504,508,5,"<-","radius_lcc",FALSE,"radius_lcc <- if (igraph::gorder(ppi_lcc) > 1) { igraph::radius(ppi_lcc, mode = ""all"") } else { 0 }"
94,"network_metrics_modules_and_candidates",510,539,30,"<-","node_metrics",FALSE,"node_metrics <- tibble( STRING_id = node_ids, gene = annotation$gene[match(node_ids, annotation$STRING_id)], pvalue = annotation$pvalue[match(node_ids, annotation$STRING_id)], l..."
95,"network_metrics_modules_and_candidates",541,541,1,"<-","top_n",FALSE,"top_n <- min(top_n, nrow(node_metrics))"
96,"network_metrics_modules_and_candidates",543,544,2,"<-","top_candidates",FALSE,"top_candidates <- node_metrics %>% slice_head(n = top_n)"
97,"network_metrics_modules_and_candidates",546,548,3,"<-","top_by_degree",FALSE,"top_by_degree <- node_metrics %>% arrange(desc(degree), desc(candidate_score), desc(betweenness)) %>% slice_head(n = top_n)"
98,"network_metrics_modules_and_candidates",550,552,3,"<-","top_by_betweenness",FALSE,"top_by_betweenness <- node_metrics %>% arrange(desc(betweenness), desc(candidate_score), desc(degree)) %>% slice_head(n = top_n)"
99,"network_metrics_modules_and_candidates",554,556,3,"<-","top_by_stress",FALSE,"top_by_stress <- node_metrics %>% arrange(desc(stress_centrality), desc(candidate_score), desc(degree)) %>% slice_head(n = top_n)"
100,"network_metrics_modules_and_candidates",558,564,7,"<-","degree_distribution",FALSE,"degree_distribution <- tibble(degree = as.integer(degree_all)) %>% count(degree, name = ""n_nodes"") %>% filter(degree > 0) %>% mutate( log10_degree = log10(degree), log10_n_nodes..."
101,"network_metrics_modules_and_candidates",566,569,4,"<-","module_labels",FALSE,"module_labels <- lapply( split(node_metrics$gene, node_metrics$community_louvain), label_module_by_markers )"
102,"network_metrics_modules_and_candidates",571,603,33,"<-","module_summary",FALSE,"module_summary <- node_metrics %>% group_by(community_louvain) %>% summarise( module_size = n(), nodes_in_largest_component = sum(in_largest_component, na.rm = TRUE), mean_logFC..."
103,"network_metrics_modules_and_candidates",607,607,1,"<-","major_module_ids",FALSE,"major_module_ids <- head(module_summary$community_louvain, min(5L, nrow(module_summary)))"
104,"network_metrics_modules_and_candidates",609,642,34,"<-","graph_summary",FALSE,"graph_summary <- tibble( metric = c( ""nodes"", ""edges"", ""components"", ""largest_component_nodes"", ""largest_component_fraction"", ""density"", ""average_degree"", ""global_clustering"", ""..."
105,"network_metrics_modules_and_candidates",644,665,22,"<-","mapping_summary",FALSE,"mapping_summary <- tibble( metric = c( ""input_rows"", ""initial_mapped"", ""initial_unmapped"", ""initial_mapped_percent"", ""final_mapped"", ""final_unmapped"", ""final_mapped_percent"", ""n..."
106,"network_metrics_modules_and_candidates",667,706,40,"<-","gene_status",FALSE,"gene_status <- input_tbl %>% distinct(input_gene, gene) %>% mutate( symbol_category_raw = vapply(gene, classify_symbol_pattern, FUN.VALUE = character(1)), hgnc_status = ifelse(i..."
107,"network_metrics_modules_and_candidates",708,711,4,"<-","still_unmapped",FALSE,"still_unmapped <- mapped_final_raw %>% filter(is.na(STRING_id)) %>% distinct(gene) %>% arrange(gene)"
108,"network_metrics_modules_and_candidates",714,714,1,"<-","enrichment_string_online_all",FALSE,"enrichment_string_online_all <- tibble()"
109,"network_metrics_modules_and_candidates",715,715,1,"<-","enrichment_string_online_top",FALSE,"enrichment_string_online_top <- tibble()"
110,"network_metrics_modules_and_candidates",716,716,1,"<-","module_enrichment_string_online",FALSE,"module_enrichment_string_online <- tibble()"
111,"network_metrics_modules_and_candidates",717,717,1,"<-","online_enrichment_status",FALSE,"online_enrichment_status <- tibble()"
112,"network_metrics_modules_and_candidates",718,718,1,"<-","enrichment_string_local_all",FALSE,"enrichment_string_local_all <- tibble()"
113,"network_metrics_modules_and_candidates",719,719,1,"<-","enrichment_string_local_top",FALSE,"enrichment_string_local_top <- tibble()"
